trapped.pig.unique.id,context,cort,dur.trapped.min,distress.num,distress.rate,invest.window.num,invest.window.rate,dur.separated,sample.time.hr,unique.group,sex,trapped.date,test.day,daily.test.order.within.group,outcome
DG2_F_3,post,4.259,20,9,0.45,25,1.2546,6.256666667,10.91666667,DG2_F,f,07.09.20,1,1,Not helped
DG2_F_3,pre,7.6,20,9,0.45,25,1.2546,6.256666667,8.666666667,DG2_F,f,07.09.20,1,1,Not helped
DG2_F_4,post,8.913,3.688166667,14,3.7959239,17,4.62292,5.770666667,10.88333333,DG2_F,m,09.09.20,3,2,Helped
DG2_F_4,pre,3.831,3.688166667,14,3.7959239,17,4.62292,5.770666667,8.466666667,DG2_F,m,09.09.20,3,2,Helped
DG2_F_5,post,6.555,1.216166667,3,2.466767164,5,4.13451,6.089333333,12.06666667,DG2_F,m,10.09.20,4,1,Helped
DG2_F_5,pre,3.723,1.216166667,3,2.466767164,5,4.13451,6.089333333,10.48333333,DG2_F,m,10.09.20,4,1,Helped
DG2_F_6,post,4.432,20,7,0.35,34,1.69278,5.999333333,12.33333333,DG2_F,f,07.09.20,1,2,Not helped
DG2_F_6,pre,2.902,20,7,0.35,34,1.69278,5.999333333,8.666666667,DG2_F,f,07.09.20,1,2,Not helped
DG2_F_7,post,5.698,20,1,0.05,35,1.70871,6.256666667,14.5,DG2_F,m,08.09.20,2,2,Not helped
DG2_F_7,pre,6.781,20,1,0.05,35,1.70871,6.256666667,11.21666667,DG2_F,m,08.09.20,2,2,Not helped
DG2_F_8,post,4.981,1.598833333,1,0.625456062,10,6.25782,6.258,13.13333333,DG2_F,m,10.09.20,4,2,Helped
DG2_F_8,pre,5.382,1.598833333,1,0.625456062,10,6.25782,6.258,10.43333333,DG2_F,m,10.09.20,4,2,Helped
DG2_F_9,post,5.47,3.872166667,5,1.291266733,19,4.90196,5.776333333,9.966666667,DG2_F,f,09.09.20,3,1,Helped
DG2_F_9,pre,3.431,3.872166667,5,1.291266733,19,4.90196,5.776333333,8.633333333,DG2_F,f,09.09.20,3,1,Helped
DG2_W_1,post,5.475,5.1755,0,0,11,2.13041,11.38333333,15.16666667,DG2_W,m,07.09.20,1,1,Helped
DG2_W_1,pre,3.113,5.1755,0,0,11,2.13041,11.38333333,12.5,DG2_W,m,07.09.20,1,1,Helped
DG2_W_2,post,10.058,0.210166667,0,0,2,11.6279,9.702666667,13.36666667,DG2_W,f,09.09.20,3,1,Helped
DG2_W_2,pre,4.995,0.210166667,0,0,2,11.6279,9.702666667,11.03333333,DG2_W,f,09.09.20,3,1,Helped
DG2_W_4,post,8.229,0.9475,2,2.110817942,7,7.35294,7.561333333,16,DG2_W,m,07.09.20,1,2,Helped
DG2_W_4,pre,4.339,0.9475,2,2.110817942,7,7.35294,7.561333333,12.5,DG2_W,m,07.09.20,1,2,Helped
DG2_W_5,post,6.758,1.356833333,1,0.737010195,7,5.22388,5.923333333,10.93333333,DG2_W,m,08.09.20,2,2,Helped
DG2_W_5,pre,6.169,1.356833333,1,0.737010195,7,5.22388,5.923333333,8.283333333,DG2_W,m,08.09.20,2,2,Helped
DG2_W_8,post,6.729,0.484166667,0,0,3,6.15595,6.083333333,14.56666667,DG2_W,f,09.09.20,3,2,Helped
DG2_W_8,pre,3.401,0.484166667,0,0,3,6.15595,6.083333333,11,DG2_W,f,09.09.20,3,2,Helped
DG3_F_1,post,4.856,0.488833333,2,4.091374023,3,6.09756,5.804,9.916666667,DG3_F,m,23.10.20,5,1,Helped
DG3_F_1,pre,3.888,0.488833333,2,4.091374023,3,6.09756,5.804,8.416666667,DG3_F,m,23.10.20,5,1,Helped
DG3_F_2,post,7.232,20,20,1,22,1.1056,5.871333333,12.08333333,DG3_F,m,21.10.20,3,2,Not helped
DG3_F_2,pre,3.222,20,20,1,22,1.1056,5.871333333,8.416666667,DG3_F,m,21.10.20,3,2,Not helped
DG3_F_3,post,5.533,1.586833333,1,0.630185905,9,5.67704,5.765333333,10.6,DG3_F,f,23.10.20,5,2,Helped
DG3_F_3,pre,3.497,1.586833333,1,0.630185905,9,5.67704,5.765333333,8.416666667,DG3_F,f,23.10.20,5,2,Helped
DG3_F_4,post,2.514,0.986166667,2,2.028054757,5,5.10899,5.806,15.25,DG3_F,f,22.10.20,4,2,Helped
DG3_F_4,pre,2.978,0.986166667,2,2.028054757,5,5.10899,5.806,10.96666667,DG3_F,f,22.10.20,4,2,Helped
DG3_F_5,post,6.33,13.5295,11,0.813038176,21,1.55394,5.845333333,14.43333333,DG3_F,f,20.10.20,2,2,Helped
DG3_F_5,pre,4.308,13.5295,11,0.813038176,21,1.55394,5.845333333,11.25,DG3_F,f,20.10.20,2,2,Helped
DG3_F_6,post,4.636,3.302833333,29,8.780340113,7,2.119392441,5.784666667,13.5,DG3_F,m,20.10.20,2,1,Not helped
DG3_F_6,pre,4.137,3.302833333,29,8.780340113,7,2.119392441,5.784666667,11.25,DG3_F,m,20.10.20,2,1,Not helped
DG3_F_7,post,4.621,1.378166667,1,0.725601645,5,3.64609,5.745333333,11.13333333,DG3_F,m,21.10.20,3,1,Helped
DG3_F_7,pre,1.465,1.378166667,1,0.725601645,5,3.64609,5.745333333,8.416666667,DG3_F,m,21.10.20,3,1,Helped
DG3_F_8,post,8.569,5.026833333,20,3.978647923,17,3.38196,7.156666667,14.5,DG3_F,m,22.10.20,4,1,Helped
DG3_F_8,pre,3.879,5.026833333,20,3.978647923,17,3.38196,7.156666667,10.96666667,DG3_F,m,22.10.20,4,1,Helped
DG3_F_9,post,9.037,10.24616667,14,1.366364656,24,2.35433,5.864,10.58333333,DG3_F,f,19.10.20,1,1,Helped
DG3_F_9,pre,3.44,10.24616667,14,1.366364656,24,2.35433,5.864,8.783333333,DG3_F,f,19.10.20,1,1,Helped
DG3_W_1,post,7.494,20,1,0.05,22,1.05779,5.785333333,11.25,DG3_W,m,20.10.20,2,2,Not helped
DG3_W_1,pre,2.715,20,1,0.05,22,1.05779,5.785333333,8.416666667,DG3_W,m,20.10.20,2,2,Not helped
